Product,Quantity,Retail Price,Total Retail Price,UPC,Notes,purl,bid
Razer Doubleshot PBT Keycap Upgrade Set for Mechanical & Optical Keyboards: Compatible with Standard 104/105 US and UK layouts - Quartz Pink,1,$29.99 ,$29.99 ,,,,
Hyperkin 3-In-1 HDTV Cable for GameCube/ N64/ Super NES,1,$29.94 ,$29.94 ,,,,
"Crayola Colored Pencils, No Repeat Colors, 120Count, Gift",1,$25.49 ,$25.49 ,,,,
"Speck Products Presidio Stay Clear iPhone 11 Case, Clear/Clear",1,$22.97 ,$22.97 ,,,,
"E-Z Ink (TM) Compatible Toner Cartridge Replacement for Brother TN760 TN-760 TN730 to Use with HL-L2350DW HL-L2395DW HL-L2390DW HL-L2370DW MFC-L2750DW MFC-L2710DW DCP-L2550DW (Black,2 Pack)",1,$20.24 ,$20.24 ,,,,
Lithium CR2 3 Volt Batteries - Pack of 12,1,$18.99 ,$18.99 ,,,,
Lithium CR2 3 Volt Batteries - Pack of 12,1,$18.99 ,$18.99 ,,,,
Xbox Wireless Controller - Red,1,$17.86 ,$17.86 ,,,,
"Smiphee Battery Case for iPhone X/XS, 4000mAh Portable Protective Charging Case Extended Rechargeable Battery Pack Charger Case Compatible with iPhone X/XS / 10 (5.8 inch) (Black)",1,$15.96 ,$15.96 ,,,,
"Upgraded, Anker Soundcore Liberty Neo True Wireless Earbuds, Pumping Bass, IPX7 Waterproof, Secure Fit, Bluetooth 5 Headphones, Stereo Calls, Noise Isolation, One Step Pairing, Sports (Red)",1,$15.12 ,$15.12 ,,,,
"LETSCOM Fitness Tracker HR, Activity Tracker Watch with Heart Rate Monitor, Waterproof Smart Fitness Band with Step Counter, Calorie Counter, Pedometer Watch for Women and Men",1,$14.91 ,$14.91 ,,,,
Xbox Wireless Controller - White,1,$14.91 ,$14.91 ,,,,
"Anker PowerCore 13000 Portable Charger - Compact 13000mAh 2-Port Ultra Portable Phone Charger Power Bank with PowerIQ and VoltageBoost Technology for iPhone, iPad, Samsung Galaxy (Black)",1,$14.75 ,$14.75 ,,,,
"ENACFIRE G20 Wireless Bluetooth Earbuds, 7H Non-Stop Playtime,",1,$13.25 ,$13.25 ,,,,
"Selfie Stick & Tripod Fugetek, Integrated, Portable All-In-One Professional, Heavy Duty Aluminum, Lightweight, Bluetooth Remote For Apple & Android Devices, Non Skid Tripod Feet, Extends To 51"", Black",1,$13.23 ,$13.23 ,,,,
"AT&T 210 Basic Trimline Corded Phone, No AC Power Required, Wall-Mountable, Black",1,$12.95 ,$12.95 ,,,,
"LASUNEY Bluetooth 5.0 True Wireless Earbuds with Charging Case for iPhone Android, 60H Cyclic Playtime Waterproof TWS Stereo Headphones with mic, in-Ear Earphones Headset for Sport",1,$12.07 ,$12.07 ,,,,
"Brother Genuine Standard Yield Black Ink Cartridge, LC201BK, Replacement Black Ink, Page Yield Up To 260 Pages, Dash Replenishment Cartridge, LC201BK",1,$11.99 ,$11.99 ,,,,
"Dazzlepro Clean Case Uv Dental Sanitizer, uniquely Designed Portable Retainer Cleaner",1,$11.25 ,$11.25 ,,,,
"Wonder Bible KJV- The Talking Audio Bible Player (King James Version) New & Old Testament Endorsed by Pat Boone, As Seen on TV",1,$9.98 ,$9.98 ,,,,
Motorcraft RS-527 Radiator Pressure Cap,1,$9.32 ,$9.32 ,,,,
Panasonic RPHJE120K Black Earphones Ergofit Design,1,$7.99 ,$7.99 ,,,,
"Xcentz iPhone Charger 10ft, Apple MFi Certified Lightning Cable, Braided Nylon High-Speed iPhone Cable with Premium Metal Connector for iPhone X/XS/XR/XS Max/8/7/6/5S/SE, iPad Pro/Mini/Air, Blue",1,$7.84 ,$7.84 ,,,,
Procase iPad 9.7 Case 2018 iPad 6th Generation Case / 2017 iPad 5th Generation Case - Ultra Slim Lightweight Stand Case with Translucent Frosted Back Smart Cover for Apple iPad 9.7 Inch,1,$6.74 ,$6.74 ,,,,
"True Wireless Earbuds,Haylou GT1 Bluetooth 5.0 Sports HD Stereo Touch Control Ear Buds with IPX5/Fast Connection/Mini Case(Only 30g)/Total 12H Playtime (Black)",1,$5.88 ,$5.88 ,,,,
"Wireless Headphones, IPX7 Waterproof Bluetooth Headphones with 3D Stereo Sound Deep Bass, 120 Playtime AAC8.0 CVC8.0 True Wireless Earbuds with Mic, Stereo Calls, Touch Control & Charging Case",1,$5.81 ,$5.81 ,,,,
Replacement DC Charging Cable USB Charger Cord - 2.5mm (Black) - Fast Charging,1,$3.84 ,$3.84 ,,,,
BOLT Lighter USB Rechargeable Windproof Coil Slim Cigarette Lighter with Charging Cable (Black),1,$2.54 ,$2.54 ,,,,
Lithium CR123a 3 Volt Battery - Pack of 6 (Appearance may Vary),1,$1.52 ,$1.52 ,,,,
,42,,"$1,542.91 ",,,,
